t,x_0,x_1,x_2,
11038,-0.380070712644,0.902440992013,-0.523704931222,
11043,-0.380070712644,0.902440992013,-0.523704931222,
11082,-0.451783663883,0.902928558958,-0.533263821308,
11105,-0.49178506208,0.907770626142,-0.561994342869,
11106,-0.49178506208,0.907770626142,-0.561994342869,
11132,-0.500507375335,0.90884935959,-0.568427804268,
11148,-0.500507375335,0.90884935959,-0.568427804268,
11170,-0.532590407241,0.904025300135,-0.556202422587,
11184,-0.560531350962,0.907366724291,-0.577153295369,
11203,-0.578432043292,0.909504983949,-0.590811638608,
11230,-0.59637505447,0.911636592201,-0.604753237396,
11251,-0.630293681491,0.906150049804,-0.598403027999,
11271,-0.63956529281,0.907126026443,-0.605830826697,
11288,-0.649100344961,0.908104442962,-0.613504471756,
11306,-0.681792096292,0.911167470269,-0.639938837795,
11343,-0.699488141469,0.912577158132,-0.654357046438,
11372,-0.723644282273,0.904243114059,-0.638793800561,
11384,-0.729124477923,0.904449404117,-0.643031247686,
11403,-0.736801558217,0.904690274204,-0.648988539074,
11424,-0.752056035024,0.904989664994,-0.660883088587,
11444,-0.752056035024,0.904989664994,-0.660883088587,
11465,-0.779235969621,0.893688843124,-0.648726746677,
11478,-0.779235969621,0.893688843124,-0.648726746677,
11497,-0.790144754573,0.893127062266,-0.656866900591,
11521,-0.802770125776,0.892235621796,-0.666338105595,
11537,-0.802770125776,0.892235621796,-0.666338105595,
11562,-0.826721911232,0.87843431239,-0.651562306113,
11578,-0.840836737819,0.876014061252,-0.661953162576,
11599,-0.840836737819,0.876014061252,-0.661953162576,
11616,-0.849791797643,0.874215672338,-0.668621379288,
11635,-0.869451142457,0.869454956358,-0.68365122177,
11659,-0.865215612109,0.858344266548,-0.648762196161,
11685,-0.877765684902,0.854470998359,-0.65805250024,
11710,-0.897797289616,0.847105412506,-0.673252247205,
11721,-0.904532533633,0.844259253425,-0.678609158865,
11743,-0.912578051242,0.840593798825,-0.685159762883,
11762,-0.912578051242,0.840593798825,-0.685159762883,
11788,-0.929472516016,0.819576418799,-0.666058735263,
11801,-0.938125110523,0.814294251804,-0.67300644553,
11817,-0.942248902784,0.81162419644,-0.676383785963,
11853,-0.951972517653,0.804911278267,-0.684562514914,
11863,-0.951972517653,0.804911278267,-0.684562514914,
11877,-0.967893218307,0.781060208478,-0.667212010728,
11896,-0.970825152173,0.778511810375,-0.66971917902,
11919,-0.970825152173,0.778511810375,-0.66971917902,
11943,-0.989756323873,0.760330070951,-0.686821604769,
11960,-0.996387244321,0.742701199153,-0.661848720663,
11976,-0.998861336021,0.739889582203,-0.664140745359,
12004,-1.00539033366,0.732165353388,-0.67032165959,
12020,-1.01287523747,0.722716795595,-0.677784373149,
12038,-1.01789736741,0.715996648378,-0.683025732839,
12060,-1.02757848909,0.693072331747,-0.663982861129,
12077,-1.02757848909,0.693072331747,-0.663982861129,
12095,-1.03063901342,0.688418717647,-0.667254285124,
12126,-1.04121112913,0.671254101628,-0.679078797453,
12145,-1.04913605555,0.657141086132,-0.688682812305,
12168,-1.05457966449,0.639169057918,-0.665724794135,
12184,-1.05686668469,0.634662208562,-0.668543163879,
12201,-1.06255851428,0.622962206403,-0.675722143811,
12224,-1.06725564395,0.612734713998,-0.681903505605,
12246,-1.07503919489,0.594475711273,-0.692843276666,
12270,-1.07503919489,0.594475711273,-0.692843276666,
12285,-1.08753919538,0.557545968589,-0.682335329177,
12307,-1.08972020875,0.551290869943,-0.685750717581,
12326,-1.09458198787,0.536594254213,-0.693626898606,
12347,-1.09458198787,0.536594254213,-0.693626898606,
12368,-1.09967064458,0.519926894271,-0.702374297282,
12382,-1.10708259443,0.496554467632,-0.684295702766,
12412,-1.11186572651,0.477989333178,-0.693176760686,
12438,-1.11367863787,0.470425230438,-0.696747952291,
12459,-1.11543390189,0.462777654043,-0.700344078976,
12489,-1.12372827387,0.433356649072,-0.686179601574,
12512,-1.12662538721,0.418243699991,-0.692808595428,
