t,x,y,z,
12534,1.13270737462,0.605915848633,-0.72965190599,
12534,1.13270737462,0.605915848633,-0.72965190599,
12554,1.12068151672,0.620422167519,-0.728492153914,
12570,1.11191677866,0.630848323505,-0.727656872486,
12593,1.08371016652,0.66359968319,-0.725071713939,
12617,1.06132018904,0.683830321354,-0.722580899003,
12632,1.05059078567,0.695650819649,-0.721672233184,
12654,1.02305933177,0.725286947437,-0.719457231873,
12673,1.00358782619,0.745665715688,-0.717995742282,
12694,0.98463011907,0.765062023236,-0.716657090732,
12712,0.961714086186,0.783568288276,-0.714293998565,
12734,0.950995816688,0.794061755072,-0.71361061707,
12754,0.931596825268,0.812723430196,-0.712441304199,
12776,0.907828706778,0.835019571001,-0.711128342042,
12793,0.892806053131,0.848793732967,-0.71036767729,
12815,0.870360610547,0.86892043997,-0.70932910115,
12835,0.857758736372,0.876152288685,-0.708077613321,
12852,0.834907690782,0.895792924098,-0.707166320504,
12870,0.806643325804,0.919336885156,-0.706188479727,
12891,0.794266812452,0.929386630117,-0.705811833927,
12910,0.785261381052,0.936600527531,-0.705557249611,
12929,0.741391982872,0.96679579491,-0.704298607355,
12951,0.724199912917,0.979577537154,-0.703984890935,
12972,0.709741343673,0.990096803957,-0.703761085753,
12989,0.695224908074,1.00044678631,-0.703569941796,
13012,0.675504528643,1.0141681051,-0.703361658671,
13043,0.644436688399,1.031708048,-0.701965628672,
13052,0.644436688399,1.031708048,-0.701965628672,
13083,0.603225365232,1.05785543968,-0.701831070991,
13103,0.603225365232,1.05785543968,-0.701831070991,
13120,0.553871135607,1.08475907701,-0.700241351394,
13140,0.53797914443,1.09361722129,-0.700321296165,
13161,0.526522622031,1.09984531479,-0.700398094584,
13179,0.498702780755,1.11441857513,-0.700650769176,
13200,0.486279428331,1.12067581134,-0.700792382914,
13220,0.456916004478,1.13275423625,-0.699854862419,
13238,0.439496893094,1.14076333776,-0.700107216771,
13260,0.419381699048,1.14963347158,-0.700433076725,
13280,0.399449124029,1.15802349777,-0.700791959481,
13305,0.383635443103,1.16439797632,-0.701100294518,
13321,0.357154186288,1.17215202587,-0.700289644426,
13336,0.357154186288,1.17215202587,-0.700289644426,
13369,0.324608083046,1.18365424877,-0.701010836466,
13390,0.324608083046,1.18365424877,-0.701010836466,
13400,0.29484568539,1.19326085102,-0.701743162116,
13428,0.260601246912,1.20125496619,-0.700874375612,
13440,0.243531956262,1.20580967614,-0.701334153973,
13463,0.222619945915,1.21100262275,-0.701916821915,
13489,0.215006669838,1.212787163,-0.702135557357,
13498,0.189946157002,1.21826166105,-0.702881428603,
13516,0.178263959292,1.22060541295,-0.703241857465,
13537,0.149803229948,1.22438156886,-0.702515764003,
13565,0.138315640298,1.22625655388,-0.702878627806,
13586,0.103605398573,1.23115143087,-0.704020464379,
13607,0.0837365424196,1.23343323613,-0.704703309814,
13623,0.0710685624644,1.23339102966,-0.703574737196,
13639,0.0576370801984,1.23457026814,-0.704038636846,
13666,0.02078951227,1.23692347492,-0.705348255014,
13682,0.0158059664096,1.23714206796,-0.70553113929,
13703,-0.00138557153896,1.23771273704,-0.706172425211,
